Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,28,4.82,.738,11,99,76,864.0,389,288,98,3,6,.992,7,9,13,14,1
Atlanta Braves,29,3.91,.680,11,99,83,891.0,406,297,104,5,13,.988,-2,-3,3,1,-1
Baltimore Orioles,28,5.00,.679,10,90,70,789.0,352,263,82,7,10,.980,4,6,-1,1,-1
Boston Red Sox,27,4.80,.681,10,90,68,801.0,369,267,94,8,11,.978,-4,-7,-10,-7,-1
Chicago Cubs,26,4.11,.689,9,81,65,729.0,332,243,84,5,6,.985,-1,-2,-8,-1,0
Chicago White Sox,27,6.36,.660,11,99,77,855.0,363,285,71,7,4,.981,-8,-11,-5,-4,0
Cincinnati Reds,27,4.78,.642,9,81,49,714.0,314,238,70,6,6,.981,-11,-19,-4,-1,-1
Cleveland Guardians,26,4.27,.720,11,99,80,933.0,410,311,95,4,6,.990,-4,-6,-11,-8,-4
Colorado Rockies,26,5.36,.684,11,99,81,855.0,402,285,110,7,13,.983,-2,-2,-6,0,0
Detroit Tigers,26,6.89,.709,9,81,57,711.0,327,237,85,5,8,.985,1,2,4,1,0
Houston Astros,26,4.18,.667,11,99,83,903.0,413,301,109,3,7,.993,0,0,-5,0,-1
Kansas City Royals,27,4.45,.664,11,99,75,873.0,381,291,88,2,8,.995,2,3,4,0,1
Los Angeles Angels,26,4.70,.673,10,90,67,801.0,363,267,89,7,6,.981,-5,-8,0,1,0
Los Angeles Dodgers,25,4.09,.676,11,99,65,864.0,383,288,91,4,9,.990,-3,-4,-3,-2,0
Miami Marlins,30,5.55,.706,11,99,77,864.0,394,288,98,8,7,.980,5,7,0,0,1
Milwaukee Brewers,26,2.60,.738,10,90,71,792.0,363,264,95,4,9,.989,12,18,16,8,2
Minnesota Twins,26,2.80,.722,10,90,65,801.0,348,267,78,3,10,.991,9,13,2,0,1
New York Mets,27,4.18,.713,11,99,70,855.0,384,285,97,2,12,.995,9,12,9,10,0
New York Yankees,28,2.80,.699,10,90,73,792.0,342,264,74,4,4,.988,4,7,0,-1,0
Oakland Athletics,27,7.70,.689,10,90,68,792.0,346,264,72,10,6,.971,-2,-3,-5,-2,-1
Philadelphia Phillies,28,5.50,.679,10,90,69,765.0,339,255,82,2,7,.994,-1,-1,-1,0,0
Pittsburgh Pirates,28,4.90,.698,10,90,59,792.0,355,264,87,4,8,.989,-3,-5,-1,-3,0
San Diego Padres,25,4.27,.679,11,99,81,879.0,397,293,101,3,11,.992,-9,-13,-6,-1,1
Seattle Mariners,28,4.09,.698,11,99,78,924.0,411,308,96,7,6,.983,0,1,6,0,-2
San Francisco Giants,29,5.10,.680,10,90,56,783.0,360,261,92,7,9,.981,-2,-3,-4,-1,-1
St. Louis Cardinals,27,4.90,.631,10,90,71,783.0,363,261,100,2,10,.994,-4,-7,2,8,0
Tampa Bay Rays,27,1.80,.746,10,90,63,810.0,358,270,84,4,9,.989,9,14,5,0,0
Texas Rangers,27,3.80,.675,10,90,62,792.0,347,264,75,8,11,.977,0,1,0,0,0
Toronto Blue Jays,25,5.80,.674,10,90,74,783.0,343,261,75,7,12,.980,2,3,7,1,2
Washington Nationals,26,5.55,.693,11,99,83,873.0,411,291,114,6,10,.985,0,0,-3,3,0
League Average,27,4.63,.689,10,93,71,822,369,274,90,5,8,.986,0,0,-0,0,-0
Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
,808,4.63,.689,310,2790,2116,24663.0,11065,8221,2690,154,254,.986,1,0,-3,0,-4
